0.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627603
1.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627670
2.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627736
3.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627805
4.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627874
5.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627933
6.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760627999
7.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628065
8.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628135
9.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628198
10.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628263
11.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628329
12.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628410
13.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628462
14.0, 1, 04:18:d6:21:51:49, -68, 04:18:d6:21:98:87, -78, 04:18:d6:22:98:8c, -85, 06:18:d6:21:51:49, -69, 1621760628527
