0.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113580
1.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113643
2.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113709
3.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113779
4.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113842
5.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113906
6.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779113972
7.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114044
8.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114109
9.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114171
10.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114237
11.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114302
12.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114372
13.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114440
14.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114504
15.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114572
16.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114637
17.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114704
18.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114769
19.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114834
20.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114901
21.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779114968
22.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115033
23.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115098
24.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115169
25.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115230
26.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115297
27.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115365
28.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115428
29.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115497
30.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115561
31.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115630
32.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115699
33.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115767
34.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115832
35.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115900
36.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779115961
37.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116031
38.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116106
39.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116161
40.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116226
41.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116296
42.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116360
43.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116426
44.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116490
45.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116560
46.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116625
47.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116698
48.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116758
49.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116820
50.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116888
51.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779116954
52.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117020
53.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117084
54.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117152
55.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117220
56.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117282
57.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117349
58.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117417
59.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117483
60.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117548
61.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117614
62.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117679
63.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117743
64.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117812
65.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117878
66.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779117943
67.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118010
68.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118076
69.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118142
70.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118205
71.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118271
72.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118343
73.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118406
74.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118472
75.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118538
76.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118600
77.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118670
78.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779118736
