38.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264254
39.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264321
40.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264386
41.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264451
42.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264518
43.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264584
44.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264650
45.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264729
46.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264783
47.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264847
48.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264914
49.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779264980
50.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265046
51.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265112
52.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265178
53.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265254
54.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265310
55.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265377
56.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265443
57.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265514
58.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265583
59.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265652
60.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265718
61.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265784
62.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265853
63.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265915
64.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779265982
65.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266048
66.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266115
67.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266180
68.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266245
69.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266312
70.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266378
71.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266442
72.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266510
73.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266577
74.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266641
75.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266707
76.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266773
77.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266841
78.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266907
79.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779266973
80.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267039
81.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267101
82.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267171
83.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267237
84.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267301
85.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267368
86.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267435
87.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267500
88.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267566
89.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267666
90.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267695
91.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267765
92.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267830
93.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267896
94.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779267959
95.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779268024
96.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779268093
97.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779268161
98.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779268248
99.0, 1, 04:18:d6:21:51:49, -72, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -95, 06:18:d6:21:51:49, -74, 1621779268288
