0.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017225
1.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017288
2.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017354
3.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017420
4.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017486
5.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017554
6.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017618
7.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017682
8.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017751
9.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017814
10.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017882
11.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710017946
12.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710018027
13.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621710018079
