0.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709899924
1.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709899987
2.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900054
3.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900123
4.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900186
5.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900250
6.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900316
7.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900387
8.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900448
9.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900515
10.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900580
11.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900654
12.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900719
13.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900782
14.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900850
15.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900915
16.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709900982
17.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901050
18.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901115
19.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901182
20.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901246
21.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901314
22.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901376
23.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901443
24.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901515
25.0, 1, 04:18:d6:21:51:49, -78, 04:18:d6:21:98:87, -87, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -78, 1621709901586
