0.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779123742
1.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779123806
2.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779123872
3.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779123937
4.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124021
5.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124069
6.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124136
7.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124202
8.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124268
9.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124345
10.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124401
11.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124465
12.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124532
13.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124597
14.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124664
15.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124731
16.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124796
17.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124874
18.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124928
19.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779124995
20.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125059
21.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125126
22.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125192
23.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125258
24.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125324
25.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125399
26.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125456
27.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125521
28.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125589
29.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125656
30.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125721
31.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125786
32.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125852
33.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125928
34.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779125984
35.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126050
36.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126115
37.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126186
38.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126249
39.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126314
40.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126379
41.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126455
42.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126512
43.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126577
44.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126643
45.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126712
46.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126775
47.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126841
48.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126908
49.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779126980
50.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127047
51.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127112
52.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127179
53.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127243
54.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127310
55.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127376
56.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127442
57.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127508
58.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127579
59.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127645
60.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127709
61.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127776
62.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127839
63.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127908
64.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779127969
65.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128038
66.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128105
67.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128168
68.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128235
69.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128299
70.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128367
71.0, 1, 04:18:d6:21:51:49, -73, 04:18:d6:21:98:87, -82, 04:18:d6:22:98:8c, -300, 06:18:d6:21:51:49, -75, 1621779128435
